"stsp","Freq"
"protease",65
"cysteine",64
"inhibitors",59
"schistosoma",47
"mansoni",46
"trypanosoma",40
"drug",31
"proteases",30
"parasite",28
"cruzi",26
"cathepsin",22
"cruzain",21
"proteinase",21
"disease",20
"identification",20
"infection",19
"inhibitor",19
"brucei",18
"against",17
"development",17
"expression",17
"target",17
"characterization",16
"parasitic",16
"structure",16
"activity",15
"entamoeba",15
"histolytica",15
"schistosome",15
"based",14
"degradation",14
"major",12
"discovery",11
"diseases",11
"potent",11
"protein",11
"cercariae",10
"chagas",10
"cyp",10
"gene",10
"host",10
"human",10
"lead",10
"novel",10
"specific",10
"synthesis",10
"targeting",10
"anti",9
"blood",9
"design",9
"high",9
"larvae",9
"model",9
"serine",9
"trypanocidal",9
"agents",8
"analysis",8
"asparaginyl",8
"associated",8
